rank,country,continent,population
"—
",World,—,7466964280
1, China[a],Asia,1403500365
2, India,Asia,1324171354
3, United States,Americas,322179605
4, Indonesia,Asia,261115456
5, Brazil,Americas,207652865
6, Pakistan,Asia,193203476
7, Nigeria,Africa,185989640
8, Bangladesh,Asia,162951560
9, Russia,Europe,146864513
10, Mexico,Americas,127540423
11, Japan,Asia,127748513
12, Ethiopia,Africa,102403196
13, Philippines,Asia,103320222
14, Egypt,Africa,95688681
15, Vietnam,Asia,94569072
16, Germany,Europe,81914672
17, Democratic Republic of the Congo,Africa,78736153
18, Iran,Asia,80277428
19, Turkey,Asia,79512426
20, Thailand,Asia,68863514
21, England,Europe,65788574
22, France[b],Europe,64720690
23, Italy,Europe,59429938
24, Tanzania[c],Africa,55572201
25, South Africa,Africa,56015473
26, Myanmar,Asia,52885223
27, South Korea,Asia,50791919
28, Colombia,Americas,48653419
29, Kenya,Africa,48461567
30, Spain[d],Europe,46347576
31, Argentina,Americas,43847430
32, Ukraine[e],Europe,44438625
33, Uganda,Africa,41487965
34, Algeria,Africa,40606052
35, Sudan,Africa,39578828
36, Iraq,Asia,37202572
37, Poland,Europe,38224410
38, Canada,Americas,36289822
39, Morocco,Africa,35276786
40, Afghanistan,Asia,34656032
41, Saudi Arabia,Asia,32275687
42, Peru,Americas,31773839
43, Venezuela,Americas,31568179
44, Uzbekistan,Asia,31446795
45, Malaysia[f],Asia,31187265
46, Angola,Africa,28813463
47, Mozambique,Africa,28829476
48,   Nepal,Asia,28982771
49, Ghana,Africa,28206728
50, Yemen,Asia,27584213
51, Madagascar,Africa,24894551
52, North Korea,Asia,25368620
53, Australia[g],Oceania,24125848
54, Ivory Coast,Africa,23695919
55, Cameroon,Africa,23439189
56, Taiwan[h],Asia,23556706
57, Niger,Africa,20672987
58, Sri Lanka,Asia,20798492
59, Romania,Europe,19778083
60, Burkina Faso,Africa,18646433
61, Malawi,Africa,18091575
62, Mali,Africa,17994837
63, Syria,Asia,18430453
